0.1 1 +- 0 1 +- 0 1 +- 0 1 +- 0 1 +- 0 1 +- 0 
0.49 1 +- 0 1 +- 0 1 +- 0 1 +- 0 1 +- 0 1 +- 0 
0.88 0.999649 +- 5.97099e-05 0.999629 +- 4.65967e-05 0.999298 +- 0.000119325 0.999259 +- 9.31087e-05 1 +- 0.000146267 1 +- 2.72955e-08 
1.27 0.990514 +- 0.000374794 0.990689 +- 0.000265956 0.981133 +- 0.000741955 0.981477 +- 0.000526631 1.00001 +- 0.000926415 1.00001 +- 2.66322e-07 
1.66 0.949285 +- 0.00108967 0.949188 +- 0.000844102 0.90126 +- 0.00206777 0.901068 +- 0.00160044 1.00013 +- 0.0028109 1.00004 +- 1.19108e-06 
2.05 0.794337 +- 0.00314851 0.794772 +- 0.00273267 0.631952 +- 0.00492438 0.632728 +- 0.00429156 1.00156 +- 0.009614 1.00054 +- 4.47345e-05 
2.44 0.0266207 +- 0.00402795 0.0248816 +- 0.00138808 0.00231487 +- 0.00078262 0.00167742 +- 0.000176872 3.26653 +- 1.30698 2.49394 +- 0.0339567 
2.83 0.00384394 +- 0.000493738 0.00410744 +- 6.85046e-05 3.89098e-05 +- 9.19859e-06 4.99641e-05 +- 1.60024e-06 2.63333 +- 0.785094 2.90027 +- 0.00694637 
3.22 0.0019429 +- 0.000263039 0.00199581 +- 2.0107e-05 1.06246e-05 +- 2.9861e-06 1.19048e-05 +- 2.36697e-07 2.81457 +- 0.957161 2.96126 +- 0.00168094 
3.61 0.0014625 +- 0.000195793 0.00135726 +- 1.02691e-05 5.93406e-06 +- 1.21095e-06 5.51401e-06 +- 8.32176e-08 2.77436 +- 0.772298 2.97738 +- 0.000957549 
4 0.000999498 +- 0.000115058 0.00105281 +- 6.09465e-06 2.30959e-06 +- 4.2976e-07 3.3176e-06 +- 3.81753e-08 2.31191 +- 0.571597 2.98374 +- 0.000660203 
